grb,ra,dec,err
GRB 150523A , NO POSITION ,,
GRB 150523A , 07:41:08.68 , -45:25:13.7 , 1.6 
GRB 150518A , NO POSITION ,,
GRB 150518A , 15:36:48.25 , +16:19:47.4 , 2.3 
GRB 150518A , NO POSITION ,,
GRB 150514A , 04:59:30.45 , -60:58:07.0 , 2.0 
GRB 150513A , NO POSITION ,,
GRB 150430A , 21:45:55.17 , -27:54:06.5 , 1.4 
GRB 150428C , NO POSITION ,,
GRB 150428C , NO POSITION ,,
GRB 150428B , 19:30:33.45 , +04:07:30.5 , 1.5 
GRB 150428A , 12:34:09.21 , +06:57:13.3 , 1.9 
GRB 150424B , NO POSITION ,,
GRB 150424B , NO POSITION ,,
GRB 150424B , NO POSITION ,,
GRB 150424A , 10:09:13.34 , -26:37:51.4 , 1.4 
GRB 150423A , 14:46:18.95 , +12:17:00.3 , 1.6 
GRB 150418A , NO POSITION ,,
GRB 150418A , NO POSITION ,,
GRB 150413A , NO POSITION ,,
GRB 150407A , NO POSITION ,,
GRB 150403A , 20:46:01.18 , -62:42:40.3 , 1.4 
GRB 150402A , 11:34:21.16 , +40:56:25.8 , 4.8 
GRB 150323C , 12:50:28.02 , +50:11:28.4 , 1.6 
GRB 150323B , NO POSITION ,,
GRB 150323A , 08:32:42.74 , +45:27:52.8 , 1.6 
GRB 150318A , 21:40:01.45 , -61:27:24.8 , 1.7 
GRB 150317A , 09:15:56.29 , +55:27:56.5 , 1.8 
GRB 150314A , 08:26:40.91 , +63:50:03.4 , 1.7 
GRB 150309A , 18:28:24.28 , +86:25:45.3 , 1.6 
GRB 150302A , 11:42:07.44 , +36:48:39.7 , 2.7 
GRB 150301B , 05:56:40.03 , -57:58:10.5 , 1.5 
GRB 150301A , 16:17:13.13 , -48:42:47.2 , 5 
GRB 150222A , 13:15:08.76 , -12:09:07.3 , 1.7 
GRB 150220A , NO POSITION ,,
GRB 150219A , 18:05:00.34 , -41:35:38.9 , 1.9 
GRB 150213B , 16:53:48.56 , +34:11:19.5 , 1.6 
GRB 150212A , 19:01:55.60 , +47:21:51.6 , 1.6 
GRB 150211A , 16:59:26.21 , +55:23:36.2 , 1.6 
GRB 150210A , NO POSITION ,,
GRB 150206A , 00:40:17.67 , -63:10:56.2 , 1.4 
GRB 150204A , 10:40:57.04 , -64:02:21.6 , 5.0 
GRB 150203A , 06:33:35.79 , +06:57:13.3 , 1.5 
GRB 150202B , 05:47:49.07 , +58:49:46.7 , 2.4 
GRB 150202A , 02:36:54.60 , -33:08:52.9 , 1.7 
GRB 150201A , 00:47:19.86 , -37:37:07.8 , 1.5 
GRB 150123A , NO POSITION ,,
GRB 150120B , 02:37:09.76 , +08:04:40.6 , 1.4 
GRB 150120A , 00:41:16.53 , +33:59:41.9 , 1.8 
GRB 150110C , NO POSITION ,,
GRB 150110B , 19:17:29.98 , +32:31:23.8 , 1.5 
GRB 150103A , 08:46:39.83 , -48:53:09.1 , 1.5 
GRB 150101B , 12:32:04.97 , -10:56:00.8 , 1.8 
GRB 150101A , 20:50:24.81 , +36:43:58.7 , 2.7 
GRB 141229A , NO POSITION ,,
GRB 141225A , 09:15:06.80 , +33:47:30.7 , 1.4 
GRB 141221A , 13:13:08.86 , +08:12:18.2 , 1.4 
GRB 141220A , 13:00:15.68 , +32:08:47.8 , 3.6 
GRB 141215A , 11:55:50.33 , -52:49:34.4 , 2.7 
GRB 141212B , 16:43:30.28 , +31:45:01.8 , 2.4 
GRB 141212A , 02:36:29.98 , +18:08:49.9 , 2.7 
GRB 141207A , NO POSITION ,,
GRB 141207A , NO POSITION ,,
GRB 141130A , 14:51:17.26 , +47:19:06.4 , 1.5 
GRB 141121A , 08:10:40.68 , +22:13:02.7 , 1.5 
GRB 141109B , 14:49:12.74 , +73:07:51.0 , 1.5 
GRB 141109A , 09:38:07.40 , -00:36:28.7 , 1.4 
GRB 141031B , 23:47:37.18 , +41:21:08.0 , 1.7 
GRB 141031A , 08:34:26.02 , -59:10:05.5 , 1.4 
GRB 141029A , NO POSITION ,,
GRB 141028A , 21:30:24.44 , -00:13:55.3 , 2.5 
GRB 141028A , NO POSITION ,,
GRB 141026A , 02:56:20.25 , +26:55:42.4 , 1.6 
GRB 141022A , 16:07:29.09 , -72:07:31.9 , 3.6 
GRB 141020A , 14:59:59.13 , +55:18:47.6 , 1.5 
GRB 141017A , 06:14:31.18 , -58:34:56.5 , 1.4 
GRB 141015A , 05:50:04.46 , +18:19:47.7 , 1.8 
GRB 141005A , 19:24:22.37 , +36:05:42.0 , 1.5 
GRB 141004A , 05:06:56.10 , +12:49:10.1 , 1.4 
GRB 140930B , 00:25:23.45 , +24:17:40.7 , 1.6 
GRB 140928A , 02:54:47.71 , -55:55:43.7 , 1.5 
GRB 140927A , 19:27:10.00 , -65:23:37.0 , 1.8 
GRB 140919A , 14:46:08.95 , -32:10:35.4 , 1.4 
GRB 140916A , 02:41:35.89 , -39:41:11.2 , 1.4 
GRB 140909A , 12:54:26.81 , +63:31:00.6 , 6.3 
GRB 140907A , 03:12:34.98 , +46:36:17.1 , 1.4 
GRB 140903A , 15:52:03.28 , +27:36:09.4 , 1.4 
GRB 140901B , NO POSITION ,,
GRB 140831A , NO POSITION ,,
GRB 140824B , NO POSITION ,,
GRB 140824A , 13:46:28.10 , +33:17:37.8 , 1.5 
GRB 140818B , 18:04:32.49 , -01:23:10.5 , 1.5 
GRB 140818A , NO POSITION ,,
GRB 140818A , 13:18:15.08 , +06:55:21.9 , 2.2 
GRB 140817A , 08:29:03.40 , +58:11:25.1 , 1.4 
GRB 140815A , 05:47:34.15 , -08:40:48.6 , 2.7 
GRB 140809A , NO POSITION ,,
GRB 140808A , 14:44:53.16 , +49:12:52.8 , 3.3 
GRB 140801A , 02:56:16.48 , +30:56:17.0 , 2.5 
GRB 140730A , 03:45:35.79 , -66:32:42.7 , 1.5 
GRB 140729A , NO POSITION ,,
GRB 140723A , NO POSITION ,,
GRB 140723A , NO POSITION ,,
GRB 140719A , 11:26:24.20 , -50:08:06.5 , 1.5 
GRB 140716A , 07:12:41.06 , -60:10:31.1 , 2.3 
GRB 140713A , 18:44:25.40 , +59:38:00.6 , 1.4 
GRB 140710A , 02:44:16.28 , +35:29:56.8 , 1.5 
