grb,ra,dec
GRB130407A,16h32m23s,+10d31m
GRB130327B,14h32m22s,-69d31m
GRB130327A,06h07m58s,+55d44m
GRB130325A,08h11m07s,-18d54m
GRB130315A,10h30m10s,-51d49m
GRB130313A,15h45m42s,-00d22m
GRB130310A,09h29m21s,-17d14m
GRB130306A,18h37m55s,-11d41m
GRB130305A,07h47m04s,+52d01m
GRB130216B,03h55m30s,+02d02m
GRB130216A,04h31m36s,+14d40m
GRB130215A,02h53m55s,+13d22m
GRB130211A,09h50m05s,-42d20m
GRB130206A,09h21m30s,-58d10m
GRB130131B,11h35m48s,+15d02m
GRB130131A,11h24m26s,+48d04m
GRB130122A,12h56m52s,+59d01m
GRB130102B,20h43m37s,-72d05m
GRB130102A,20h45m51s,+49d50m
GRB121229A,12h40m24s,-50d36m
GRB121226A,11h14m38s,-30d25m
GRB121225B,20h35m39s,-34d21m
GRB121225A,17h39m27s,-66d04m
GRB121217A,10h14m54s,-62d18m
GRB121212A,11h51m22s,+78d02m
GRB121211A,13h02m11s,+30d10m
GRB121209A,21h47m12s,-08d15m
GRB121202A,17h07m16s,+23d57m
